altersgruppe,region,datum,anzahl,summe,population
80+,CH,2020-11-02,3247,14431,471987
Unbekannt,CH,2020-11-02,9,83,NA
0 - 9,CH,2020-11-09,414,2189,883904
10 - 19,CH,2020-11-09,3655,21601,858994
20 - 29,CH,2020-11-09,6418,50027,1027732
30 - 39,CH,2020-11-09,6565,46560,1254957
40 - 49,CH,2020-11-09,6417,43690,1205539
50 - 59,CH,2020-11-09,6628,45724,1300012
60 - 69,CH,2020-11-09,3822,25979,991217
70 - 79,CH,2020-11-09,2549,17258,744449
80+,CH,2020-11-09,3119,17550,471987
Unbekannt,CH,2020-11-09,3,86,NA
0 - 9,CH,2020-11-16,379,2568,883904
10 - 19,CH,2020-11-16,2634,24235,858994
20 - 29,CH,2020-11-16,5031,55058,1027732
30 - 39,CH,2020-11-16,4902,51462,1254957
40 - 49,CH,2020-11-16,4777,48467,1205539
50 - 59,CH,2020-11-16,5021,50745,1300012
60 - 69,CH,2020-11-16,2852,28831,991217
70 - 79,CH,2020-11-16,1947,19205,744449
80+,CH,2020-11-16,2565,20115,471987
Unbekannt,CH,2020-11-16,4,90,NA
0 - 9,CH,2020-11-23,277,2845,883904
10 - 19,CH,2020-11-23,2328,26563,858994
20 - 29,CH,2020-11-23,4317,59375,1027732
30 - 39,CH,2020-11-23,4352,55814,1254957
40 - 49,CH,2020-11-23,3934,52401,1205539
50 - 59,CH,2020-11-23,4297,55042,1300012
60 - 69,CH,2020-11-23,2463,31294,991217
70 - 79,CH,2020-11-23,1659,20864,744449
80+,CH,2020-11-23,2549,22664,471987
Unbekannt,CH,2020-11-23,1,91,NA
0 - 9,CH,2020-11-30,297,3142,883904
10 - 19,CH,2020-11-30,2445,29008,858994
20 - 29,CH,2020-11-30,4331,63706,1027732
30 - 39,CH,2020-11-30,4519,60333,1254957
40 - 49,CH,2020-11-30,4167,56568,1205539
50 - 59,CH,2020-11-30,4564,59606,1300012
60 - 69,CH,2020-11-30,2535,33829,991217
70 - 79,CH,2020-11-30,1727,22591,744449
80+,CH,2020-11-30,2689,25353,471987
Unbekannt,CH,2020-11-30,3,94,NA
0 - 9,CH,2020-12-07,414,3556,883904
10 - 19,CH,2020-12-07,2685,31693,858994
20 - 29,CH,2020-12-07,4531,68237,1027732
30 - 39,CH,2020-12-07,4848,65181,1254957
40 - 49,CH,2020-12-07,4674,61242,1205539
50 - 59,CH,2020-12-07,4918,64524,1300012
60 - 69,CH,2020-12-07,2946,36775,991217
70 - 79,CH,2020-12-07,2067,24658,744449
80+,CH,2020-12-07,2913,28266,471987
Unbekannt,CH,2020-12-07,4,98,NA
0 - 9,CH,2020-12-14,413,3969,883904
10 - 19,CH,2020-12-14,2506,34199,858994
20 - 29,CH,2020-12-14,4327,72564,1027732
30 - 39,CH,2020-12-14,4787,69968,1254957
40 - 49,CH,2020-12-14,4596,65838,1205539
50 - 59,CH,2020-12-14,4985,69509,1300012
60 - 69,CH,2020-12-14,2980,39755,991217
70 - 79,CH,2020-12-14,1945,26603,744449
80+,CH,2020-12-14,2714,30980,471987
Unbekannt,CH,2020-12-14,6,104,NA
0 - 9,CH,2020-12-21,290,4259,883904
10 - 19,CH,2020-12-21,1692,35891,858994
20 - 29,CH,2020-12-21,3646,76210,1027732
30 - 39,CH,2020-12-21,4009,73977,1254957
40 - 49,CH,2020-12-21,3772,69610,1205539
50 - 59,CH,2020-12-21,4121,73630,1300012
60 - 69,CH,2020-12-21,2570,42325,991217
70 - 79,CH,2020-12-21,1754,28357,744449
80+,CH,2020-12-21,2089,33069,471987
Unbekannt,CH,2020-12-21,3,107,NA
0 - 9,CH,2020-12-28,209,4468,883904
10 - 19,CH,2020-12-28,1684,37575,858994
20 - 29,CH,2020-12-28,3878,80088,1027732
30 - 39,CH,2020-12-28,3950,77927,1254957
40 - 49,CH,2020-12-28,3673,73283,1205539
50 - 59,CH,2020-12-28,4039,77669,1300012
60 - 69,CH,2020-12-28,2428,44753,991217
70 - 79,CH,2020-12-28,1554,29911,744449
80+,CH,2020-12-28,1978,35047,471987
Unbekannt,CH,2020-12-28,5,112,NA
0 - 9,CH,2021-01-04,276,4744,883904
10 - 19,CH,2021-01-04,2151,39726,858994
