altersgruppe,region,datum,anzahl,summe,population
30 - 39,BL,2022-10-10,132,23377,35909
30 - 39,BS,2022-10-10,142,20622,33455
30 - 39,FR,2022-10-10,172,29388,46547
30 - 39,GE,2022-10-10,218,52447,76283
30 - 39,GL,2022-10-10,17,3194,5693
30 - 39,GR,2022-10-10,99,17509,26120
30 - 39,JU,2022-10-10,12,5806,8826
30 - 39,LU,2022-10-10,193,37116,61154
30 - 39,NE,2022-10-10,80,15080,23159
30 - 39,NW,2022-10-10,21,3399,5642
30 - 39,OW,2022-10-10,20,3258,5035
30 - 39,SG,2022-10-10,222,43139,73653
30 - 39,SH,2022-10-10,53,6666,11206
30 - 39,SO,2022-10-10,112,22846,38552
30 - 39,SZ,2022-10-10,66,12979,22237
30 - 39,TG,2022-10-10,172,24511,40710
30 - 39,TI,2022-10-10,329,27071,39781
30 - 39,UR,2022-10-10,15,2775,4637
30 - 39,VD,2022-10-10,489,78193,120501
30 - 39,VS,2022-10-10,384,31209,47853
30 - 39,ZG,2022-10-10,58,10487,18604
30 - 39,ZH,2022-10-10,1209,148887,256370
40 - 49,AG,2022-10-10,422,50948,96825
40 - 49,AI,2022-10-10,3,1062,1930
40 - 49,AR,2022-10-10,18,3859,7092
40 - 49,BE,2022-10-10,595,75198,137398
40 - 49,BL,2022-10-10,178,22845,38786
40 - 49,BS,2022-10-10,143,15551,27627
40 - 49,FR,2022-10-10,180,26391,45409
40 - 49,GE,2022-10-10,255,48210,77034
40 - 49,GL,2022-10-10,16,2687,5328
40 - 49,GR,2022-10-10,111,15436,26075
40 - 49,JU,2022-10-10,24,5291,8992
40 - 49,LU,2022-10-10,177,30750,55769
40 - 49,NE,2022-10-10,104,14347,23956
40 - 49,NW,2022-10-10,16,3158,5613
40 - 49,OW,2022-10-10,16,2937,5024
40 - 49,SG,2022-10-10,244,36775,66764
40 - 49,SH,2022-10-10,40,5797,10746
40 - 49,SO,2022-10-10,156,19818,35972
40 - 49,SZ,2022-10-10,95,12192,22731
40 - 49,TG,2022-10-10,129,20306,37213
40 - 49,TI,2022-10-10,396,29760,48290
40 - 49,UR,2022-10-10,7,2504,4684
40 - 49,VD,2022-10-10,486,69011,118412
40 - 49,VS,2022-10-10,394,26176,46165
40 - 49,ZG,2022-10-10,64,9884,19455
40 - 49,ZH,2022-10-10,984,126134,232249
50 - 59,AG,2022-10-10,643,46788,107532
50 - 59,AI,2022-10-10,11,1080,2484
50 - 59,AR,2022-10-10,30,3961,8616
50 - 59,BE,2022-10-10,902,68372,155465
50 - 59,BL,2022-10-10,279,22091,45701
50 - 59,BS,2022-10-10,137,12729,26847
50 - 59,FR,2022-10-10,195,22938,48825
50 - 59,GE,2022-10-10,273,37984,72478
50 - 59,GL,2022-10-10,17,2526,6163
50 - 59,GR,2022-10-10,168,15344,31774
50 - 59,JU,2022-10-10,38,5160,10842
50 - 59,LU,2022-10-10,259,28498,62118
50 - 59,NE,2022-10-10,125,12493,25764
50 - 59,NW,2022-10-10,46,3338,7273
50 - 59,OW,2022-10-10,18,2853,6121
50 - 59,SG,2022-10-10,305,34972,76399
50 - 59,SH,2022-10-10,81,5526,12544
50 - 59,SO,2022-10-10,218,19380,43561
50 - 59,SZ,2022-10-10,137,12113,27140
50 - 59,TG,2022-10-10,241,20233,44654
50 - 59,TI,2022-10-10,600,29033,58508
50 - 59,UR,2022-10-10,11,2337,5527
50 - 59,VD,2022-10-10,610,56304,115937
50 - 59,VS,2022-10-10,461,24363,53016
50 - 59,ZG,2022-10-10,95,9065,21071
50 - 59,ZH,2022-10-10,1311,100797,223652
60 - 69,AG,2022-10-10,514,25853,83686
60 - 69,AI,2022-10-10,9,690,2025
60 - 69,AR,2022-10-10,48,2460,7372
60 - 69,BE,2022-10-10,843,41769,129560
60 - 69,BL,2022-10-10,214,12290,36436
60 - 69,BS,2022-10-10,151,7638,21416
60 - 69,FR,2022-10-10,169,12447,35229
60 - 69,GE,2022-10-10,254,19497,48922
60 - 69,GL,2022-10-10,17,1584,5302
60 - 69,GR,2022-10-10,160,9106,26969
60 - 69,JU,2022-10-10,35,3223,9320
60 - 69,LU,2022-10-10,243,15913,48108
60 - 69,NE,2022-10-10,101,6805,19209
60 - 69,NW,2022-10-10,26,1937,6047
60 - 69,OW,2022-10-10,24,1601,4946
60 - 69,SG,2022-10-10,292,19990,60389
60 - 69,SH,2022-10-10,94,3463,10864
60 - 69,SO,2022-10-10,211,11734,36105
60 - 69,SZ,2022-10-10,94,6943,20444
60 - 69,TG,2022-10-10,220,11454,35251
60 - 69,TI,2022-10-10,485,15781,43476
60 - 69,UR,2022-10-10,15,1381,4778
60 - 69,VD,2022-10-10,500,30050,80347
60 - 69,VS,2022-10-10,413,14429,42899
60 - 69,ZG,2022-10-10,86,4775,14649
60 - 69,ZH,2022-10-10,1060,53959,157468
70 - 79,AG,2022-10-10,413,13253,58426
70 - 79,AI,2022-10-10,11,382,1433
70 - 79,AR,2022-10-10,49,1238,5050
70 - 79,BE,2022-10-10,719,25379,102884
70 - 79,BL,2022-10-10,211,7504,29538
70 - 79,BS,2022-10-10,103,4620,16101
70 - 79,FR,2022-10-10,135,6819,25069
70 - 79,GE,2022-10-10,228,11472,36705
70 - 79,GL,2022-10-10,20,833,3795
70 - 79,GR,2022-10-10,146,5292,20461
70 - 79,JU,2022-10-10,38,1922,7250
70 - 79,LU,2022-10-10,209,8234,33585
70 - 79,NE,2022-10-10,129,4539,15527
70 - 79,NW,2022-10-10,21,1054,4461
70 - 79,OW,2022-10-10,28,877,3504
70 - 79,SG,2022-10-10,236,11046,44078
70 - 79,SH,2022-10-10,72,2044,8053
70 - 79,SO,2022-10-10,193,6282,25255
70 - 79,SZ,2022-10-10,53,3465,13712
70 - 79,TG,2022-10-10,174,5876,23637
70 - 79,TI,2022-10-10,436,11056,36178
70 - 79,UR,2022-10-10,8,718,3595
70 - 79,VD,2022-10-10,477,18423,62222
70 - 79,VS,2022-10-10,387,8863,33457
70 - 79,ZG,2022-10-10,61,2476,10312
70 - 79,ZH,2022-10-10,923,32260,120161
80+,AG,2022-10-10,225,8296,33478
80+,AI,2022-10-10,6,262,977
80+,AR,2022-10-10,18,966,3082
80+,BE,2022-10-10,324,17659,63650
80+,BL,2022-10-10,132,5716,20175
80+,BS,2022-10-10,109,4230,13129
80+,FR,2022-10-10,57,4424,13531
80+,GE,2022-10-10,174,9612,26509
80+,GL,2022-10-10,9,626,2322
80+,GR,2022-10-10,95,3411,12271
80+,JU,2022-10-10,24,1675,4459
80+,LU,2022-10-10,120,6177,22055
80+,NE,2022-10-10,95,3653,10363
80+,NW,2022-10-10,13,605,2365
80+,OW,2022-10-10,12,607,1994
80+,SG,2022-10-10,129,7723,26720
80+,SH,2022-10-10,33,1407,5401
80+,SO,2022-10-10,103,4409,15637
80+,SZ,2022-10-10,28,2457,7945
80+,TG,2022-10-10,109,4027,13791
80+,TI,2022-10-10,376,9173,26276
80+,UR,2022-10-10,2,656,2127
80+,VD,2022-10-10,291,14244,39500
80+,VS,2022-10-10,192,6251,18921
80+,ZG,2022-10-10,37,1630,6309
80+,ZH,2022-10-10,656,23142,79000
Unbekannt,AG,2022-10-10,1,31,NA
Unbekannt,AI,2022-10-10,0,0,NA
Unbekannt,AR,2022-10-10,0,0,NA
Unbekannt,BE,2022-10-10,0,88,NA
Unbekannt,BL,2022-10-10,0,13,NA
Unbekannt,BS,2022-10-10,0,37,NA
Unbekannt,FR,2022-10-10,0,19,NA
Unbekannt,GE,2022-10-10,0,52,NA
Unbekannt,GL,2022-10-10,0,4,NA
Unbekannt,GR,2022-10-10,0,24,NA
Unbekannt,JU,2022-10-10,0,3,NA
Unbekannt,LU,2022-10-10,0,61,NA
Unbekannt,NE,2022-10-10,0,8,NA
Unbekannt,NW,2022-10-10,0,1,NA
Unbekannt,OW,2022-10-10,0,3,NA
Unbekannt,SG,2022-10-10,0,31,NA
Unbekannt,SH,2022-10-10,0,2,NA
Unbekannt,SO,2022-10-10,0,10,NA
Unbekannt,SZ,2022-10-10,0,13,NA
Unbekannt,TG,2022-10-10,0,39,NA
Unbekannt,TI,2022-10-10,0,80,NA
Unbekannt,UR,2022-10-10,0,3,NA
Unbekannt,VD,2022-10-10,0,84,NA
Unbekannt,VS,2022-10-10,0,0,NA
Unbekannt,ZG,2022-10-10,0,6,NA
Unbekannt,ZH,2022-10-10,0,126,NA
0 - 9,AG,2022-10-17,18,19336,73435
0 - 9,AI,2022-10-17,2,233,1751
0 - 9,AR,2022-10-17,2,1420,6002
0 - 9,BE,2022-10-17,32,31600,101906
0 - 9,BL,2022-10-17,9,12392,27883
0 - 9,BS,2022-10-17,21,9290,18510
0 - 9,FR,2022-10-17,14,9445,36132
0 - 9,GE,2022-10-17,14,18148,53474
0 - 9,GL,2022-10-17,1,1219,4062
0 - 9,GR,2022-10-17,7,6927,17618
0 - 9,JU,2022-10-17,6,2404,7306
0 - 9,LU,2022-10-17,21,13652,43735
0 - 9,NE,2022-10-17,2,6294,17264
0 - 9,NW,2022-10-17,1,1552,3914
0 - 9,OW,2022-10-17,1,1048,3825
0 - 9,SG,2022-10-17,15,10501,54040
0 - 9,SH,2022-10-17,2,2426,8050
0 - 9,SO,2022-10-17,6,10514,27596
0 - 9,SZ,2022-10-17,3,4243,16038
0 - 9,TG,2022-10-17,16,8288,30136
0 - 9,TI,2022-10-17,29,10226,28476
0 - 9,UR,2022-10-17,1,1216,3614
0 - 9,VD,2022-10-17,33,22900,87915
0 - 9,VS,2022-10-17,14,10130,33780
0 - 9,ZG,2022-10-17,1,3405,13311
0 - 9,ZH,2022-10-17,71,55950,164131
10 - 19,AG,2022-10-17,77,39800,69526
10 - 19,AI,2022-10-17,1,945,1666
10 - 19,AR,2022-10-17,1,3337,5311
10 - 19,BE,2022-10-17,147,59862,97838
10 - 19,BL,2022-10-17,46,20262,28384
10 - 19,BS,2022-10-17,25,11444,15827
10 - 19,FR,2022-10-17,30,20477,36160
10 - 19,GE,2022-10-17,38,30409,53904
10 - 19,GL,2022-10-17,1,2469,3827
10 - 19,GR,2022-10-17,23,12103,17630
10 - 19,JU,2022-10-17,9,4604,7854
10 - 19,LU,2022-10-17,39,25824,41479
10 - 19,NE,2022-10-17,13,11071,19083
10 - 19,NW,2022-10-17,0,2634,3946
10 - 19,OW,2022-10-17,6,2413,3787
10 - 19,SG,2022-10-17,46,30556,52232
10 - 19,SH,2022-10-17,1,5247,7781
10 - 19,SO,2022-10-17,35,17725,26026
10 - 19,SZ,2022-10-17,13,9306,15362
10 - 19,TG,2022-10-17,28,17695,27865
10 - 19,TI,2022-10-17,77,21115,33880
10 - 19,UR,2022-10-17,0,2458,3752
10 - 19,VD,2022-10-17,76,48532,91874
10 - 19,VS,2022-10-17,31,19543,34634
10 - 19,ZG,2022-10-17,6,8004,12888
10 - 19,ZH,2022-10-17,183,90546,146478
20 - 29,AG,2022-10-17,202,49512,79778
20 - 29,AI,2022-10-17,5,1236,2010
20 - 29,AR,2022-10-17,18,3598,5879
20 - 29,BE,2022-10-17,307,75148,115407
20 - 29,BL,2022-10-17,84,20691,30005
20 - 29,BS,2022-10-17,77,16801,23124
20 - 29,FR,2022-10-17,75,27131,42907
20 - 29,GE,2022-10-17,99,42790,64139
20 - 29,GL,2022-10-17,9,2902,4698
20 - 29,GR,2022-10-17,66,16509,22458
20 - 29,JU,2022-10-17,13,5725,8949
20 - 29,LU,2022-10-17,90,34237,52323
20 - 29,NE,2022-10-17,44,14188,21841
20 - 29,NW,2022-10-17,7,3001,4633
20 - 29,OW,2022-10-17,5,2746,4199
20 - 29,SG,2022-10-17,151,41399,64970
20 - 29,SH,2022-10-17,27,6023,9350
20 - 29,SO,2022-10-17,77,20233,31541
20 - 29,SZ,2022-10-17,38,11170,18080
20 - 29,TG,2022-10-17,86,20923,32707
20 - 29,TI,2022-10-17,165,23995,37316
20 - 29,UR,2022-10-17,5,2716,4333
20 - 29,VD,2022-10-17,221,68525,106260
20 - 29,VS,2022-10-17,129,28532,42484
20 - 29,ZG,2022-10-17,35,8100,13188
20 - 29,ZH,2022-10-17,517,116961,185153
30 - 39,AG,2022-10-17,352,58059,100400
30 - 39,AI,2022-10-17,0,1213,2084
30 - 39,AR,2022-10-17,27,4300,7181
30 - 39,BE,2022-10-17,494,86442,143365
30 - 39,BL,2022-10-17,141,23518,35909
30 - 39,BS,2022-10-17,141,20763,33455
30 - 39,FR,2022-10-17,137,29525,46547
30 - 39,GE,2022-10-17,207,52654,76283
30 - 39,GL,2022-10-17,17,3211,5693
30 - 39,GR,2022-10-17,79,17588,26120
30 - 39,JU,2022-10-17,17,5823,8826
30 - 39,LU,2022-10-17,163,37279,61154
30 - 39,NE,2022-10-17,52,15132,23159
30 - 39,NW,2022-10-17,21,3420,5642
30 - 39,OW,2022-10-17,9,3267,5035
30 - 39,SG,2022-10-17,205,43344,73653
30 - 39,SH,2022-10-17,38,6704,11206
30 - 39,SO,2022-10-17,135,22981,38552
30 - 39,SZ,2022-10-17,66,13045,22237
30 - 39,TG,2022-10-17,141,24652,40710
30 - 39,TI,2022-10-17,270,27341,39781
30 - 39,UR,2022-10-17,4,2779,4637
30 - 39,VD,2022-10-17,376,78569,120501
30 - 39,VS,2022-10-17,191,31400,47853
30 - 39,ZG,2022-10-17,57,10544,18604
30 - 39,ZH,2022-10-17,880,149767,256370
40 - 49,AG,2022-10-17,380,51328,96825
40 - 49,AI,2022-10-17,3,1065,1930
40 - 49,AR,2022-10-17,20,3879,7092
40 - 49,BE,2022-10-17,595,75793,137398
40 - 49,BL,2022-10-17,182,23027,38786
40 - 49,BS,2022-10-17,132,15683,27627
40 - 49,FR,2022-10-17,158,26549,45409
40 - 49,GE,2022-10-17,219,48429,77034
40 - 49,GL,2022-10-17,7,2694,5328
40 - 49,GR,2022-10-17,93,15529,26075
40 - 49,JU,2022-10-17,33,5324,8992
40 - 49,LU,2022-10-17,177,30927,55769
40 - 49,NE,2022-10-17,90,14437,23956
40 - 49,NW,2022-10-17,18,3176,5613
40 - 49,OW,2022-10-17,12,2949,5024
40 - 49,SG,2022-10-17,228,37003,66764
40 - 49,SH,2022-10-17,52,5849,10746
40 - 49,SO,2022-10-17,138,19956,35972
40 - 49,SZ,2022-10-17,73,12265,22731
40 - 49,TG,2022-10-17,162,20468,37213
40 - 49,TI,2022-10-17,331,30091,48290
40 - 49,UR,2022-10-17,4,2508,4684
40 - 49,VD,2022-10-17,369,69380,118412
40 - 49,VS,2022-10-17,215,26391,46165
40 - 49,ZG,2022-10-17,77,9961,19455
40 - 49,ZH,2022-10-17,881,127015,232249
50 - 59,AG,2022-10-17,577,47365,107532
50 - 59,AI,2022-10-17,4,1084,2484
50 - 59,AR,2022-10-17,34,3995,8616
50 - 59,BE,2022-10-17,763,69135,155465
50 - 59,BL,2022-10-17,224,22315,45701
50 - 59,BS,2022-10-17,152,12881,26847
50 - 59,FR,2022-10-17,165,23103,48825
50 - 59,GE,2022-10-17,251,38235,72478
50 - 59,GL,2022-10-17,24,2550,6163
50 - 59,GR,2022-10-17,151,15495,31774
50 - 59,JU,2022-10-17,35,5195,10842
50 - 59,LU,2022-10-17,196,28694,62118
50 - 59,NE,2022-10-17,96,12589,25764
50 - 59,NW,2022-10-17,38,3376,7273
50 - 59,OW,2022-10-17,18,2871,6121
50 - 59,SG,2022-10-17,295,35267,76399
50 - 59,SH,2022-10-17,59,5585,12544
50 - 59,SO,2022-10-17,205,19585,43561
50 - 59,SZ,2022-10-17,122,12235,27140
50 - 59,TG,2022-10-17,199,20432,44654
50 - 59,TI,2022-10-17,464,29497,58508
50 - 59,UR,2022-10-17,16,2353,5527
50 - 59,VD,2022-10-17,437,56741,115937
50 - 59,VS,2022-10-17,286,24649,53016
50 - 59,ZG,2022-10-17,73,9138,21071
50 - 59,ZH,2022-10-17,1146,101943,223652
60 - 69,AG,2022-10-17,452,26305,83686
60 - 69,AI,2022-10-17,3,693,2025
60 - 69,AR,2022-10-17,40,2500,7372
60 - 69,BE,2022-10-17,717,42486,129560
60 - 69,BL,2022-10-17,210,12500,36436
60 - 69,BS,2022-10-17,107,7745,21416
60 - 69,FR,2022-10-17,159,12606,35229
60 - 69,GE,2022-10-17,202,19699,48922
60 - 69,GL,2022-10-17,14,1598,5302
60 - 69,GR,2022-10-17,127,9233,26969
60 - 69,JU,2022-10-17,16,3239,9320
60 - 69,LU,2022-10-17,185,16098,48108
60 - 69,NE,2022-10-17,88,6893,19209
60 - 69,NW,2022-10-17,29,1966,6047
60 - 69,OW,2022-10-17,26,1627,4946
60 - 69,SG,2022-10-17,245,20235,60389
60 - 69,SH,2022-10-17,61,3524,10864
60 - 69,SO,2022-10-17,181,11915,36105
60 - 69,SZ,2022-10-17,80,7023,20444
60 - 69,TG,2022-10-17,157,11611,35251
60 - 69,TI,2022-10-17,379,16160,43476
60 - 69,UR,2022-10-17,13,1394,4778
60 - 69,VD,2022-10-17,357,30407,80347
60 - 69,VS,2022-10-17,289,14718,42899
60 - 69,ZG,2022-10-17,85,4860,14649
60 - 69,ZH,2022-10-17,853,54812,157468
70 - 79,AG,2022-10-17,357,13610,58426
70 - 79,AI,2022-10-17,6,388,1433
70 - 79,AR,2022-10-17,29,1267,5050
70 - 79,BE,2022-10-17,664,26043,102884
70 - 79,BL,2022-10-17,195,7699,29538
70 - 79,BS,2022-10-17,79,4699,16101
70 - 79,FR,2022-10-17,136,6955,25069
70 - 79,GE,2022-10-17,185,11657,36705
70 - 79,GL,2022-10-17,6,839,3795
70 - 79,GR,2022-10-17,131,5423,20461
70 - 79,JU,2022-10-17,28,1950,7250
70 - 79,LU,2022-10-17,155,8389,33585
70 - 79,NE,2022-10-17,97,4636,15527
70 - 79,NW,2022-10-17,27,1081,4461
70 - 79,OW,2022-10-17,25,902,3504
70 - 79,SG,2022-10-17,252,11298,44078
70 - 79,SH,2022-10-17,47,2091,8053
70 - 79,SO,2022-10-17,142,6424,25255
70 - 79,SZ,2022-10-17,49,3514,13712
70 - 79,TG,2022-10-17,135,6011,23637
70 - 79,TI,2022-10-17,379,11435,36178
70 - 79,UR,2022-10-17,8,726,3595
70 - 79,VD,2022-10-17,411,18834,62222
70 - 79,VS,2022-10-17,261,9124,33457
70 - 79,ZG,2022-10-17,55,2531,10312
70 - 79,ZH,2022-10-17,738,32998,120161
80+,AG,2022-10-17,182,8478,33478
80+,AI,2022-10-17,4,266,977
80+,AR,2022-10-17,18,984,3082
80+,BE,2022-10-17,348,18007,63650
80+,BL,2022-10-17,120,5836,20175
80+,BS,2022-10-17,70,4300,13129
80+,FR,2022-10-17,50,4474,13531
80+,GE,2022-10-17,170,9782,26509
80+,GL,2022-10-17,9,635,2322
80+,GR,2022-10-17,91,3502,12271
80+,JU,2022-10-17,19,1694,4459
80+,LU,2022-10-17,119,6296,22055
80+,NE,2022-10-17,88,3741,10363
80+,NW,2022-10-17,8,613,2365
80+,OW,2022-10-17,6,613,1994
80+,SG,2022-10-17,115,7838,26720
80+,SH,2022-10-17,28,1435,5401
80+,SO,2022-10-17,98,4507,15637
80+,SZ,2022-10-17,35,2492,7945
80+,TG,2022-10-17,87,4114,13791
80+,TI,2022-10-17,232,9405,26276
80+,UR,2022-10-17,3,659,2127
80+,VD,2022-10-17,269,14513,39500
80+,VS,2022-10-17,210,6461,18921
80+,ZG,2022-10-17,21,1651,6309
80+,ZH,2022-10-17,481,23623,79000
Unbekannt,AG,2022-10-17,0,31,NA
Unbekannt,AI,2022-10-17,0,0,NA
Unbekannt,AR,2022-10-17,1,1,NA
Unbekannt,BE,2022-10-17,0,88,NA
Unbekannt,BL,2022-10-17,0,13,NA
Unbekannt,BS,2022-10-17,0,37,NA
Unbekannt,FR,2022-10-17,0,19,NA
Unbekannt,GE,2022-10-17,0,52,NA
Unbekannt,GL,2022-10-17,0,4,NA
Unbekannt,GR,2022-10-17,0,24,NA
Unbekannt,JU,2022-10-17,0,3,NA
Unbekannt,LU,2022-10-17,0,61,NA
Unbekannt,NE,2022-10-17,0,8,NA
Unbekannt,NW,2022-10-17,0,1,NA
Unbekannt,OW,2022-10-17,0,3,NA
Unbekannt,SG,2022-10-17,0,31,NA
Unbekannt,SH,2022-10-17,0,2,NA
Unbekannt,SO,2022-10-17,0,10,NA
Unbekannt,SZ,2022-10-17,0,13,NA
Unbekannt,TG,2022-10-17,0,39,NA
Unbekannt,TI,2022-10-17,1,81,NA
Unbekannt,UR,2022-10-17,0,3,NA
Unbekannt,VD,2022-10-17,0,84,NA
Unbekannt,VS,2022-10-17,0,0,NA
Unbekannt,ZG,2022-10-17,0,6,NA
Unbekannt,ZH,2022-10-17,0,126,NA
0 - 9,AG,2022-10-24,18,19354,73435
0 - 9,AI,2022-10-24,0,233,1751
0 - 9,AR,2022-10-24,3,1423,6002
0 - 9,BE,2022-10-24,46,31646,101906
0 - 9,BL,2022-10-24,21,12413,27883
0 - 9,BS,2022-10-24,8,9298,18510
0 - 9,FR,2022-10-24,9,9454,36132
0 - 9,GE,2022-10-24,20,18168,53474
0 - 9,GL,2022-10-24,0,1219,4062
0 - 9,GR,2022-10-24,8,6935,17618
0 - 9,JU,2022-10-24,0,2404,7306
0 - 9,LU,2022-10-24,14,13666,43735
0 - 9,NE,2022-10-24,4,6298,17264
0 - 9,NW,2022-10-24,0,1552,3914
0 - 9,OW,2022-10-24,0,1048,3825
0 - 9,SG,2022-10-24,20,10521,54040
0 - 9,SH,2022-10-24,8,2434,8050
0 - 9,SO,2022-10-24,7,10521,27596
0 - 9,SZ,2022-10-24,5,4248,16038
0 - 9,TG,2022-10-24,10,8298,30136
0 - 9,TI,2022-10-24,20,10246,28476
0 - 9,UR,2022-10-24,1,1217,3614
0 - 9,VD,2022-10-24,16,22916,87915
0 - 9,VS,2022-10-24,19,10149,33780
0 - 9,ZG,2022-10-24,5,3410,13311
0 - 9,ZH,2022-10-24,74,56024,164131
10 - 19,AG,2022-10-24,88,39888,69526
10 - 19,AI,2022-10-24,0,945,1666
10 - 19,AR,2022-10-24,7,3344,5311
10 - 19,BE,2022-10-24,125,59987,97838
10 - 19,BL,2022-10-24,46,20308,28384
10 - 19,BS,2022-10-24,32,11476,15827
10 - 19,FR,2022-10-24,16,20493,36160
10 - 19,GE,2022-10-24,21,30430,53904
10 - 19,GL,2022-10-24,4,2473,3827
10 - 19,GR,2022-10-24,26,12129,17630
10 - 19,JU,2022-10-24,3,4607,7854
10 - 19,LU,2022-10-24,29,25853,41479
10 - 19,NE,2022-10-24,15,11086,19083
10 - 19,NW,2022-10-24,5,2639,3946
10 - 19,OW,2022-10-24,3,2416,3787
10 - 19,SG,2022-10-24,48,30604,52232
10 - 19,SH,2022-10-24,7,5254,7781
10 - 19,SO,2022-10-24,39,17764,26026
10 - 19,SZ,2022-10-24,23,9329,15362
10 - 19,TG,2022-10-24,31,17726,27865
10 - 19,TI,2022-10-24,32,21147,33880
10 - 19,UR,2022-10-24,2,2460,3752
10 - 19,VD,2022-10-24,54,48586,91874
10 - 19,VS,2022-10-24,28,19571,34634
10 - 19,ZG,2022-10-24,10,8014,12888
10 - 19,ZH,2022-10-24,180,90726,146478
20 - 29,AG,2022-10-24,186,49698,79778
20 - 29,AI,2022-10-24,6,1242,2010
20 - 29,AR,2022-10-24,18,3616,5879
20 - 29,BE,2022-10-24,289,75437,115407
20 - 29,BL,2022-10-24,64,20755,30005
20 - 29,BS,2022-10-24,62,16863,23124
20 - 29,FR,2022-10-24,57,27188,42907
20 - 29,GE,2022-10-24,103,42893,64139
20 - 29,GL,2022-10-24,10,2912,4698
20 - 29,GR,2022-10-24,41,16550,22458
20 - 29,JU,2022-10-24,6,5731,8949
20 - 29,LU,2022-10-24,86,34323,52323
20 - 29,NE,2022-10-24,28,14216,21841
20 - 29,NW,2022-10-24,10,3011,4633
20 - 29,OW,2022-10-24,5,2751,4199
20 - 29,SG,2022-10-24,148,41547,64970
20 - 29,SH,2022-10-24,16,6039,9350
20 - 29,SO,2022-10-24,90,20323,31541
20 - 29,SZ,2022-10-24,20,11190,18080
20 - 29,TG,2022-10-24,79,21002,32707
20 - 29,TI,2022-10-24,97,24092,37316
20 - 29,UR,2022-10-24,2,2718,4333
20 - 29,VD,2022-10-24,177,68702,106260
20 - 29,VS,2022-10-24,77,28609,42484
20 - 29,ZG,2022-10-24,28,8128,13188
20 - 29,ZH,2022-10-24,475,117436,185153
30 - 39,AG,2022-10-24,328,58387,100400
30 - 39,AI,2022-10-24,4,1217,2084
30 - 39,AR,2022-10-24,20,4320,7181
30 - 39,BE,2022-10-24,499,86941,143365
30 - 39,BL,2022-10-24,132,23650,35909
30 - 39,BS,2022-10-24,94,20857,33455
30 - 39,FR,2022-10-24,95,29620,46547
30 - 39,GE,2022-10-24,159,52813,76283
30 - 39,GL,2022-10-24,6,3217,5693
30 - 39,GR,2022-10-24,63,17651,26120
30 - 39,JU,2022-10-24,13,5836,8826
30 - 39,LU,2022-10-24,162,37441,61154
30 - 39,NE,2022-10-24,43,15175,23159
30 - 39,NW,2022-10-24,20,3440,5642
30 - 39,OW,2022-10-24,9,3276,5035
30 - 39,SG,2022-10-24,262,43606,73653
30 - 39,SH,2022-10-24,26,6730,11206
30 - 39,SO,2022-10-24,105,23086,38552
30 - 39,SZ,2022-10-24,42,13087,22237
30 - 39,TG,2022-10-24,138,24790,40710
30 - 39,TI,2022-10-24,184,27525,39781
30 - 39,UR,2022-10-24,5,2784,4637
30 - 39,VD,2022-10-24,287,78856,120501
30 - 39,VS,2022-10-24,105,31505,47853
30 - 39,ZG,2022-10-24,40,10584,18604
30 - 39,ZH,2022-10-24,810,150577,256370
40 - 49,AG,2022-10-24,307,51635,96825
40 - 49,AI,2022-10-24,5,1070,1930
40 - 49,AR,2022-10-24,32,3911,7092
40 - 49,BE,2022-10-24,508,76301,137398
40 - 49,BL,2022-10-24,148,23175,38786
40 - 49,BS,2022-10-24,95,15778,27627
40 - 49,FR,2022-10-24,96,26645,45409
40 - 49,GE,2022-10-24,159,48588,77034
40 - 49,GL,2022-10-24,10,2704,5328
40 - 49,GR,2022-10-24,65,15594,26075
40 - 49,JU,2022-10-24,13,5337,8992
40 - 49,LU,2022-10-24,151,31078,55769
40 - 49,NE,2022-10-24,52,14489,23956
40 - 49,NW,2022-10-24,18,3194,5613
40 - 49,OW,2022-10-24,12,2961,5024
40 - 49,SG,2022-10-24,247,37250,66764
40 - 49,SH,2022-10-24,31,5880,10746
40 - 49,SO,2022-10-24,103,20059,35972
40 - 49,SZ,2022-10-24,52,12317,22731
40 - 49,TG,2022-10-24,114,20582,37213
40 - 49,TI,2022-10-24,237,30328,48290
40 - 49,UR,2022-10-24,9,2517,4684
40 - 49,VD,2022-10-24,288,69668,118412
40 - 49,VS,2022-10-24,123,26514,46165
40 - 49,ZG,2022-10-24,53,10014,19455
40 - 49,ZH,2022-10-24,790,127805,232249
50 - 59,AG,2022-10-24,418,47783,107532
50 - 59,AI,2022-10-24,8,1092,2484
50 - 59,AR,2022-10-24,47,4042,8616
50 - 59,BE,2022-10-24,599,69734,155465
50 - 59,BL,2022-10-24,190,22505,45701
50 - 59,BS,2022-10-24,98,12979,26847
50 - 59,FR,2022-10-24,129,23232,48825
50 - 59,GE,2022-10-24,205,38440,72478
50 - 59,GL,2022-10-24,19,2569,6163
50 - 59,GR,2022-10-24,110,15605,31774
50 - 59,JU,2022-10-24,20,5215,10842
50 - 59,LU,2022-10-24,179,28873,62118
50 - 59,NE,2022-10-24,64,12653,25764
50 - 59,NW,2022-10-24,41,3417,7273
50 - 59,OW,2022-10-24,17,2888,6121
50 - 59,SG,2022-10-24,265,35532,76399
50 - 59,SH,2022-10-24,47,5632,12544
50 - 59,SO,2022-10-24,163,19748,43561
50 - 59,SZ,2022-10-24,76,12311,27140
